time (s)	magX	magY	magZ
5615.327884	-446.555817	220.120972	-728.120361
5615.331208	-443.575104	218.952072	-752.492065
5615.334563	-440.477478	217.374054	-775.753357
5615.337902	-435.626526	214.860886	-799.599060
5615.341292	-431.360016	212.406189	-824.379822
5615.344634	-425.515472	209.776154	-848.985352
5615.347874	-419.437195	206.269424	-872.831055
5615.351203	-411.780853	202.762711	-896.618347
5615.354525	-403.949127	198.087082	-920.639404
5615.357457	-395.474609	194.521912	-945.186401
5615.360786	-385.772675	189.144943	-968.623047
5615.364174	-375.486237	183.592621	-993.345398
5615.367464	-364.790802	177.631210	-1016.665039
5615.370803	-352.867920	171.260666	-1037.530151
5615.374139	-341.120392	164.480988	-1060.791260
5615.377438	-327.736420	156.941544	-1082.591431
5615.380772	-314.118652	149.226761	-1104.040894
5615.384112	-298.864410	140.167740	-1126.600830
5615.387465	-283.142609	131.342484	-1147.407349
5615.390772	-266.953247	121.582115	-1166.109863
5615.393687	-250.179443	112.289307	-1185.163086
5615.397015	-231.944489	102.587379	-1203.514893
5615.400350	-213.475739	92.067215	-1221.457642
5615.403684	-193.370544	81.371712	-1237.588501
5615.407043	-173.732910	69.857979	-1253.368774
5615.410350	-152.166565	58.168907	-1267.337280
5615.413680	-131.184692	45.836937	-1280.779663
5615.417012	-107.981880	33.797195	-1292.176514
5615.420353	-84.837517	21.056108	-1302.872070
5615.423742	-60.232033	8.957919	-1312.807739
5615.427015	-36.327873	-3.783169	-1319.470581
5615.430341	-11.371708	-15.822908	-1325.315063
5615.433682	13.584454	-27.395090	-1330.049194
5615.437018	39.125072	-39.960838	-1332.270142
5615.440344	64.899475	-52.175919	-1333.322144
5615.443676	90.323204	-63.514313	-1330.692017
5615.447009	115.922272	-74.735825	-1327.828125
5615.450363	140.995331	-86.015778	-1322.801880
5615.453679	165.776154	-96.535942	-1315.203979
5615.457007	190.264771	-107.348335	-1308.015137
5615.460349	214.110443	-117.225594	-1297.144409
5615.463678	236.962585	-126.518410	-1285.396851
5615.467010	259.756287	-135.109879	-1273.240234
5615.470336	281.907074	-143.935135	-1256.232666
5615.473673	301.603149	-152.760376	-1240.686157
5615.477011	321.065460	-159.890717	-1224.613647
5615.480341	339.884857	-167.663940	-1207.080078
5615.483671	357.944458	-173.976044	-1187.208740
5615.487009	374.718292	-180.521927	-1166.109863
5615.490387	390.030945	-186.249557	-1144.777344
5615.493703	404.642303	-192.327896	-1123.094116
5615.497005	418.610748	-196.945068	-1101.235474
5615.500338	431.234924	-200.977798	-1078.558716
5615.503673	442.222656	-205.594986	-1054.537720
5615.507003	453.035034	-209.919937	-1031.334839
5615.510335	462.327881	-213.134415	-1007.430725
5615.513668	470.919342	-215.881363	-985.396851
5615.517001	477.874359	-218.978973	-961.492737
5615.520339	484.186432	-221.667450	-936.887146
5615.523668	490.673859	-224.180588	-912.281677
5615.527006	494.998810	-225.817078	-888.377563
5615.530339	499.616028	-227.745758	-864.298035
5615.533671	503.298065	-229.732910	-839.867920
5615.537017	506.454102	-230.258911	-815.905334
5615.540336	508.616577	-231.544724	-792.410278
5615.543667	509.843964	-232.655182	-767.103394
5615.547000	510.837524	-232.888947	-744.543518
5615.550333	511.071289	-233.298080	-721.223816
5615.553664	510.954407	-232.888947	-697.845703
5615.557060	510.545288	-232.246048	-674.759766
5615.560337	508.908813	-231.836945	-652.024536
5615.563667	507.389252	-231.252487	-629.289246
5615.567004	505.109863	-230.025131	-607.196899
5615.570337	502.888947	-229.090012	-584.520142
5615.573665	500.142029	-227.336655	-564.239624
5615.577000	496.576874	-225.758636	-543.023987
5615.580356	493.420807	-224.063721	-522.977173
5615.584962	485.706024	-219.563431	-483.643494
5615.587876	481.205719	-217.400940	-464.590332
5615.591217	476.530090	-215.180023	-445.595551
5615.594586	471.270020	-213.134415	-427.769745
5615.597918	466.243713	-209.978378	-411.638824
5615.601189	460.983643	-207.699005	-394.923431
5615.604530	456.132690	-204.542953	-379.201630
5615.607842	451.106354	-202.614273	-363.947388
5615.611205	444.969604	-199.516663	-350.212738
5615.614525	439.943298	-196.652832	-336.419647
5615.617443	434.040314	-194.081253	-322.626556
5615.620778	428.897125	-191.217407	-310.002350
5615.624198	422.701904	-188.645828	-297.670380
5615.627423	417.032715	-186.191116	-286.741089
5615.630756	411.831085	-183.444183	-276.279358
5615.634092	405.577423	-181.106369	-265.057861
5615.637417	400.258911	-178.534790	-255.297501
5615.640746	395.232605	-176.547638	-245.303329
5615.644085	389.680298	-174.209824	-237.120987
5615.646991	384.186432	-171.755127	-228.354187
5615.650321	378.926361	-170.235535	-220.347168
5615.653677	374.367615	-167.956177	-212.223267
5615.656987	368.698395	-165.559906	-204.566925
5615.660318	362.678558	-162.462311	-196.852142
5615.663657	358.119812	-160.942734	-188.786682
5615.666996	352.918182	-159.072479	-181.481018
5615.670348	347.541199	-156.676224	-175.519577
5615.673660	342.573334	-154.455292	-169.382812
5615.676991	337.897705	-152.351257	-163.246048
5615.680317	332.228516	-150.364120	-157.050858
5615.683652	327.319092	-148.669205	-150.797195
5615.686985	323.052612	-146.623611	-145.303329
5615.690322	317.792511	-144.519577	-139.926361
5615.693653	313.175323	-142.357117	-134.257156
5615.696984	309.025726	-140.311523	-129.698425
5615.700321	304.116302	-137.856812	-123.970779
5615.703651	299.966675	-136.161896	-118.593811
5615.706989	295.583282	-134.291656	-114.385742
5615.710331	291.433655	-132.012268	-110.411453
5615.713654	287.400909	-130.901810	-105.151382
5615.716981	283.251312	-128.213333	-100.475739
5615.720319	278.984802	-126.226173	-96.852135
5615.723650	274.952057	-123.888374	-92.994736
5615.726982	271.270020	-123.128578	-88.962006
5615.730314	266.828156	-121.199883	-85.455292
5615.733668	264.022797	-119.095848	-81.481003
5615.736985	260.165405	-117.459373	-78.149620
5615.740338	256.775574	-115.998253	-75.285797
5615.743649	253.035065	-114.186440	-72.480423
5615.746979	250.463470	-113.134422	-69.850380
5615.750318	247.833435	-110.971947	-66.635887
5615.753651	244.735809	-109.861488	-64.414963
5615.756977	241.521332	-108.926369	-62.427818
5615.760314	238.832855	-107.465233	-59.973114
5615.763650	235.969025	-105.653419	-57.343075
5615.766975	234.098785	-105.127411	-55.531269
5615.770330	231.585632	-104.309174	-54.245472
5615.773646	229.072479	-102.789597	-51.498539
5615.776982	227.026886	-102.263588	-50.446522
5615.780311	224.689087	-100.685570	-49.043835
5615.783647	222.409698	-99.750443	-47.582703
5615.786975	220.480988	-99.224434	-46.998249
5615.790306	217.909393	-98.172409	-44.601990
5615.793647	216.156067	-97.061951	-43.316189
5615.796978	214.402679	-96.828171	-41.971947
5615.800330	212.824677	-95.659264	-40.218586
5615.804911	209.551727	-94.431908	-37.705437
5615.808268	207.681488	-93.379898	-36.478085
5615.811595	205.635895	-92.620102	-36.419640
5615.814548	204.291626	-92.269424	-35.426067
5615.817907	202.713623	-91.275864	-32.796028
5615.821227	200.843353	-90.808304	-32.620689
5615.824607	199.674469	-89.873177	-31.919346
5615.827830	197.979553	-89.580948	-30.867331
5615.831183	196.401520	-89.347168	-30.341320
5615.834484	195.232605	-88.762703	-29.230860
5615.837872	194.180603	-87.418465	-27.535946
5615.840728	192.544128	-86.834007	-27.243717
5615.844091	191.433655	-86.541786	-26.483929
5615.847429	189.914093	-86.366447	-25.899475
5615.850818	189.037415	-84.846870	-24.146114
5615.854061	187.050262	-84.905319	-24.613676
5615.857414	186.407349	-84.262413	-23.269434
5615.860733	184.770905	-83.502632	-21.808300
5615.864056	183.894226	-82.918175	-21.223846
5615.867388	182.491516	-82.158379	-20.639393
5615.870296	182.199310	-81.632378	-20.054939
5615.873630	181.030396	-80.989471	-19.470486
5615.876965	180.329041	-80.580360	-18.886032
5615.880301	179.452362	-80.054352	-18.418468
5615.883634	178.458801	-79.820564	-17.775570
5615.886962	177.932785	-79.236122	-17.483343
5615.890301	177.289886	-79.177673	-16.548218
5615.893650	176.588547	-78.417877	-16.489773
5615.896962	176.354767	-78.651657	-16.957336
5615.900311	176.179428	-77.658096	-16.197546
5615.903629	175.653412	-77.774986	-15.729982
5615.906965	175.653412	-77.658096	-16.022211
5615.910298	174.659851	-77.658096	-15.963766
5615.913634	174.718292	-77.541199	-16.548218
5615.916962	174.718292	-77.658096	-16.548218
5615.920297	174.601410	-77.774986	-15.613092
5615.923633	175.068970	-77.365860	-15.379311
5615.926967	175.244308	-77.541199	-15.554646
5615.930300	174.601410	-78.184097	-15.320866
5615.933624	175.185852	-77.541199	-15.788429
5615.936995	174.601410	-77.248970	-16.022211
5615.940296	175.536530	-77.541199	-15.963766
5615.943629	175.185852	-78.125656	-16.489773
5615.946962	175.419647	-78.067207	-17.074226
5615.950293	175.945648	-78.008766	-17.015781
5615.953624	176.354767	-77.774986	-17.366453
5615.956957	176.530090	-78.067207	-17.132671
5615.960297	176.004089	-79.002342	-17.015781
5615.963629	176.530090	-78.651657	-17.600235
5615.967012	177.056107	-78.768555	-17.658680
5615.970288	176.822327	-79.353004	-17.717125
5615.973626	177.523682	-78.534775	-16.957336
5615.976958	177.932785	-78.943893	-17.483343
5615.980320	178.517242	-79.002342	-18.126244
5615.983623	179.101685	-79.294571	-18.184689
5615.986958	179.218597	-80.229691	-18.886032
5615.990292	179.978394	-79.703682	-18.418468
5615.993625	180.621277	-79.820564	-19.002922
5615.996957	181.497955	-80.288132	-19.353594
5616.000296	181.790192	-80.405029	-19.119814
5616.003623	182.608398	-80.054352	-19.704268
5616.006959	182.900635	-80.229691	-20.347166
5616.010289	183.894226	-80.521912	-20.054939
5616.013618	184.303345	-80.697258	-19.528931
5616.016958	185.063110	-81.223259	-20.580948
5616.020285	186.290466	-81.515488	-20.990067
5616.024995	188.043823	-82.567505	-22.334309
5616.027902	189.388092	-82.859726	-22.509644
5616.031580	190.615417	-83.444183	-22.743425
5616.034470	192.135010	-84.145531	-24.613676
5616.037830	193.420807	-84.437759	-25.022795
5616.041194	194.823486	-85.255989	-25.431911
5616.044585	196.109283	-85.898880	-27.185272
5616.047884	197.921082	-86.366447	-28.354179
5616.051158	199.031555	-87.184685	-28.763298
5616.054468	201.661591	-87.827583	-30.107540
5616.057799	203.298065	-88.470490	-31.568674
5616.060702	205.168304	-89.756279	-32.912918
5616.064050	206.863220	-90.574524	-33.848042
5616.067382	208.616608	-91.801865	-35.601402
5616.070727	211.071289	-92.269424	-36.361195
5616.074066	212.941559	-93.204552	-37.763882
5616.077400	215.513153	-94.373459	-40.160141
5616.080760	217.149628	-95.542366	-42.030392
5616.084037	219.136749	-96.594383	-44.368206
5616.086947	221.474579	-96.477501	-46.589130
5616.090280	223.870850	-98.639969	-47.699593
5616.093614	226.383972	-99.341316	-49.511398
5616.096946	228.838684	-100.744003	-51.323204
5616.100279	231.351837	-101.737579	-53.018120
5616.103608	233.981873	-102.848038	-54.829926
5616.106945	236.495026	-103.958504	-56.933960
5616.110306	239.358856	-105.302742	-58.511982
5616.113609	241.813568	-106.062538	-60.966686
5616.116940	243.333130	-106.646980	-63.070721
5616.120279	246.956757	-107.699013	-65.466980
5616.123607	249.762115	-108.751015	-66.928116
5616.126944	252.509064	-109.277031	-68.856812
5616.130274	255.431335	-110.445930	-71.428406
5616.133605	258.412048	-111.673286	-73.824661
5616.136948	261.334320	-113.251305	-76.045593
5616.140305	264.724152	-114.069557	-78.675629
5616.143606	268.347748	-115.121559	-81.422562
5616.146941	271.503784	-116.582695	-84.812393
5616.150275	274.893616	-117.342491	-87.676208
5616.153608	278.575684	-119.271187	-91.767387
5616.156939	281.907074	-120.440102	-94.748100
5616.160275	285.472229	-121.901222	-97.787262
5616.163606	288.978973	-123.187019	-102.053772
5616.166935	292.076569	-124.531258	-106.261841
5616.170272	296.576843	-126.284630	-111.171249
5616.173604	300.492706	-128.271774	-115.145538
5616.176937	305.168335	-129.908234	-119.996490
5616.180265	309.610168	-130.960266	-125.081238
5616.183619	313.584442	-133.356522	-130.867325
5616.186938	318.435394	-134.992996	-135.192291
5616.190267	323.169464	-137.447693	-141.621277
5616.193606	327.552887	-138.441269	-147.816483
5616.196935	332.170074	-141.188187	-154.420807
5616.200262	337.430145	-142.590897	-160.791351
5616.203621	342.105774	-144.636475	-168.506134
5616.206975	347.482758	-146.798950	-174.584457
5616.210267	352.567505	-148.493866	-182.649918
5616.213634	357.535339	-150.948578	-189.838684
5616.216935	363.263000	-153.052612	-197.962601
5616.220264	368.464630	-154.630630	-205.911163
5616.223599	373.958496	-157.494446	-214.035080
5616.226936	378.809448	-159.715378	-223.094101
5616.230264	384.946228	-161.410294	-232.153137
5616.233596	390.147858	-162.871429	-242.147293
5616.236933	395.817078	-166.261261	-252.082993
5616.240266	401.427826	-167.663940	-262.077148
5616.243600	406.980103	-169.709534	-272.012848
5616.246926	412.707764	-170.995331	-281.422577
5616.250261	418.435394	-173.333145	-292.059601
5616.253599	424.805939	-174.911163	-303.047363
5616.258301	435.618347	-178.710114	-325.724121
5616.261198	441.521301	-180.580368	-337.354767
5616.264881	446.781403	-181.924622	-350.972534
5616.267781	451.924591	-183.619537	-363.187592
5616.271122	457.301544	-184.671539	-376.162476
5616.274477	463.263000	-186.775574	-389.780243
5616.277802	468.172394	-187.418472	-404.683807
5616.281196	474.367584	-189.464050	-419.178253
5616.284526	479.452362	-190.516083	-433.848053
5616.287824	485.296906	-192.210999	-449.511383
5616.291104	489.504974	-193.847458	-466.168304
5616.294058	494.180603	-194.841034	-483.351227
5616.297347	499.382233	-195.834595	-501.118683
5616.300685	503.531860	-197.003525	-520.054932
5616.304020	508.441223	-197.529526	-539.049683
5616.307367	511.538879	-199.049103	-558.102844
5616.310703	515.571594	-199.282867	-578.032715
5616.314045	518.669189	-200.218002	-598.780823
5616.317410	521.766785	-200.919357	-619.996460
5616.320680	524.104614	-200.744019	-642.264160
5616.324017	526.734680	-201.270020	-664.414978
5616.326924	528.254272	-201.737579	-687.208618
5616.330254	530.767395	-201.445358	-710.528320
5616.333591	529.540039	-200.744019	-734.490906
5616.336956	529.423157	-200.334900	-757.167725
5616.340252	530.884338	-199.341339	-782.240723
5616.343588	528.312683	-198.113983	-806.554077
5616.346920	526.267090	-196.594391	-829.815247
5616.350256	523.111023	-194.490356	-854.011719
5616.353587	520.071899	-193.029221	-878.383423
5616.356921	515.922241	-190.866745	-902.871948
5616.360257	511.772675	-187.944473	-926.308594
5616.363582	505.226776	-184.554657	-949.628235
5616.366920	500.317352	-181.106369	-973.473999
5616.370248	492.953217	-177.891876	-996.150757
5616.373585	484.770905	-173.333145	-1018.418457
5616.376914	477.348297	-169.300415	-1040.452393
5616.380283	467.704834	-163.806549	-1062.953857
5616.383584	458.645813	-159.072479	-1081.364136
5616.386921	447.716522	-152.818817	-1102.638306
5616.390254	436.495026	-146.915848	-1121.983643
5616.393582	425.098175	-140.369965	-1142.497925
5616.396913	412.357086	-134.350098	-1160.733032
5616.400248	398.447113	-126.693748	-1176.980713
5616.403582	385.063110	-119.738747	-1193.812988
5616.406915	369.633545	-111.439507	-1209.943848
5616.410248	354.613098	-104.075386	-1223.503296
5616.413578	337.956177	-95.659264	-1238.056152
5616.416914	320.539459	-87.009354	-1249.686768
5616.420247	302.772064	-78.300995	-1260.966675
5616.423586	285.063110	-69.651077	-1271.077759
5616.426912	266.886627	-59.890709	-1280.896606
5616.430246	246.781433	-50.714783	-1289.078979
5616.433578	226.091766	-40.895966	-1294.864990
5616.436912	205.226776	-30.375803	-1302.112183
5616.440268	184.303345	-20.206312	-1305.619019
5616.443607	161.801880	-10.212158	-1309.651733
5616.446910	140.001755	0.717125	-1311.872559
5616.450245	117.792519	10.886616	-1311.814209
5616.453608	94.531265	22.283461	-1311.755737
5616.456911	71.503799	33.388077	-1309.125610
5616.460241	47.307423	43.966686	-1303.164185
5616.463574	23.929281	54.486855	-1299.365234
5616.466912	0.609589	65.474579	-1293.988403
5616.470243	-21.774986	75.936295	-1284.228027
5616.473575	-44.042664	86.398018	-1275.694946
5616.476912	-65.842781	96.801285	-1264.999390
5616.480241	-87.993568	106.327881	-1254.829956
5616.483569	-109.852135	117.023376	-1241.621338
5616.486907	-130.600250	126.491531	-1228.003540
5616.490237	-150.588562	136.251892	-1214.385742
5616.493570	-169.933960	145.252487	-1197.728882
5616.497860	-206.579193	162.610748	-1165.525513
5616.501185	-223.820587	170.559326	-1147.875000
5616.504422	-239.776154	178.390991	-1129.172485
5616.507757	-255.614838	185.229095	-1111.346558
5616.511099	-270.459991	193.411438	-1091.942749
5616.514447	-284.194641	200.015778	-1072.831055
5616.517767	-298.279938	206.444763	-1054.187012
5616.521168	-309.793671	212.523071	-1033.848022
5616.524492	-322.300995	218.016937	-1014.970154
5616.527799	-333.230286	223.101700	-995.449402
5616.530660	-343.867340	228.069550	-973.999939
5616.533999	-352.575714	232.394485	-955.063721
5616.537323	-361.108704	236.544113	-934.490967
5616.540684	-369.817078	240.226181	-914.035034
5616.543996	-377.181183	243.616013	-895.040283
5616.547325	-384.428436	247.122726	-873.532349
5616.550682	-390.506714	249.635880	-853.661011
5616.554022	-396.877258	251.739914	-834.783142
5616.557417	-401.845154	254.428391	-814.210388
5616.560235	-406.520782	256.707794	-795.098755
5616.563566	-411.196381	257.584442	-775.052002
5616.566900	-414.703094	258.811798	-756.174133
5616.570266	-417.683807	259.220917	-736.945618
5616.573562	-421.132111	260.331390	-718.418457
5616.576898	-423.528351	260.272949	-698.196350
5616.580232	-425.924622	261.149628	-680.428955
5616.583575	-428.262451	260.039154	-661.609558
5616.586894	-428.905304	259.746918	-642.907043
5616.590230	-430.015778	259.045593	-624.730591
5616.593563	-429.898895	257.818237	-608.015198
5616.596893	-431.126221	257.116882	-590.539978
5616.600224	-430.775574	254.603729	-573.473938
5616.603563	-429.548248	253.610168	-555.706604
