time (s)	det(V)
5119.722625	-1.582046	
5119.724137	-1.582130	
5119.725862	-1.582142	
5119.727398	-1.582130	
5119.729092	-1.582122	
5119.730650	-1.582231	
5119.732344	-1.582191	
5119.733904	-1.582114	
5119.735597	-1.582074	
5119.737172	-1.582219	
5119.738859	-1.582158	
5119.740445	-1.582170	
5119.742089	-1.582191	
5119.743692	-1.582215	
5119.745328	-1.582086	
5119.746940	-1.582255	
5119.748570	-1.582162	
5119.750212	-1.582211	
5119.751814	-1.582195	
5119.753483	-1.582271	
5119.755066	-1.582199	
5119.756744	-1.582324	
5119.758320	-1.582207	
5119.760006	-1.582316	
5119.761576	-1.582167	
5119.763286	-1.582255	
5119.764845	-1.582255	
5119.766552	-1.582179	
5119.768086	-1.582070	
5119.769804	-1.582138	
5119.771293	-1.582110	
5119.773070	-1.582175	
5119.774552	-1.582167	
5119.776314	-1.582255	
5119.777801	-1.582207	
5119.779589	-1.582211	
5119.781064	-1.582239	
5119.782816	-1.582187	
5119.784300	-1.582223	
5119.786042	-1.582118	
5119.787551	-1.582114	
5119.789287	-1.582062	
5119.790809	-1.582106	
5119.792534	-1.582034	
5119.794069	-1.582170	
5119.795789	-1.582005	
5119.797331	-1.582134	
5119.799028	-1.582086	
5119.800586	-1.582050	
5119.802262	-1.582126	
5119.803828	-1.582134	
5119.805491	-1.581921	
5119.807086	-1.582130	
5119.808726	-1.582009	
5119.810343	-1.582126	
5119.811982	-1.581828	
5119.813594	-1.582175	
5119.815216	-1.582013	
5119.816865	-1.582118	
5119.818455	-1.581925	
5119.820132	-1.582106	
5119.821702	-1.581989	
5119.823393	-1.582090	
5119.824967	-1.581977	
5119.826635	-1.582054	
5119.828190	-1.582005	
5119.829903	-1.581981	
5119.831471	-1.581921	
5119.833183	-1.582086	
5119.834710	-1.582005	
5119.836427	-1.582062	
5119.837918	-1.581925	
5119.839678	-1.582042	
5119.841167	-1.581977	
5119.842937	-1.581981	
5119.844424	-1.581993	
5119.846206	-1.581868	
5119.847681	-1.581981	
5119.849452	-1.581921	
5119.850941	-1.582009	
5119.852691	-1.581953	
5119.854194	-1.581969	
5119.855911	-1.581933	
5119.857428	-1.582021	
5119.859142	-1.581868	
5119.860682	-1.582017	
5119.862204	-1.582054	
5119.863807	-1.581957	
5119.865299	-1.581965	
5119.866927	-1.582062	
5119.868453	-1.582021	
5119.870099	-1.582050	
5119.871585	-1.582009	
5119.873227	-1.581961	
5119.874724	-1.582001	
5119.876365	-1.581897	
5119.877843	-1.581997	
5119.879487	-1.581840	
5119.880970	-1.581623	
5119.882561	-1.573433	
5119.884107	-1.544852	
5119.885659	-1.480556	
5119.887263	-1.465418	
5119.888751	-1.349599	
5119.890382	-1.307379	
5119.891894	-1.257033	
5119.893539	-1.233781	
5119.895022	-1.199968	
5119.896655	-1.097966	
5119.898126	-1.107767	
5119.899765	-1.004256	
5119.901251	-0.983683	
5119.902955	-0.967388	
5119.904437	-0.965676	
5119.906139	-0.873504	
5119.907628	-0.875708	
5119.909317	-0.799810	
5119.910834	-0.817893	
5119.912466	-0.737633	
5119.914001	-0.704839	
5119.915613	-0.680121	
5119.917195	-0.661373	
5119.918782	-0.636083	
5119.920371	-0.601226	
5119.921913	-0.576714	
5119.923568	-0.558260	
5119.925063	-0.471321	
5119.926778	-0.483768	
5119.928249	-0.431594	
5119.929990	-0.435477	
5119.931537	-0.414908	
5119.933249	-0.364913	
5119.934794	-0.377550	
5119.936498	-0.357130	
5119.938030	-0.373328	
5119.939764	-0.278203	
5119.941270	-0.322196	
5119.943030	-0.268531	
5119.944508	-0.264241	
5119.946287	-0.259073	
5119.947767	-0.274235	
5119.949536	-0.267693	
5119.951017	-0.252160	
5119.952792	-0.251060	
5119.954283	-0.219370	
5119.956048	-0.201617	
5119.957551	-0.196018	
5119.959289	-0.168375	
5119.960803	-0.202068	
5119.962516	-0.147367	
5119.964054	-0.184533	
5119.965743	-0.165374	
5119.967292	-0.170123	
5119.968968	-0.122311	
5119.970545	-0.152951	
5119.972223	-0.106569	
5119.973786	-0.146755	
5119.975437	-0.093606	
5119.977029	-0.084135	
5119.978694	-0.086858	
