crossing time (s)	slope (V/s)	crossing number
6018.310779	-20.757541	1155
6024.402399	-94.521758	1156
6031.516773	-55.502929	1157
6032.504331	-46.766338	1158
6033.514301	-43.121901	1159
6034.544124	-36.282221	1160
6035.540815	-31.200298	1161
6036.551246	-28.279937	1162
6037.587940	-23.168762	1163
6038.581702	-23.058675	1164
6039.612560	-18.623830	1165
6040.623210	-15.601650	1166
6041.623984	-15.072045	1167
6042.683520	-11.532786	1168
6043.678714	-10.404077	1169
6044.697433	-10.847328	1170
6045.687504	-8.385509	1171
6046.741371	-6.902226	1172
6047.742151	-5.233835	1173
6048.722571	-3.888388	1174
6049.807321	-3.850052	1175
6050.696749	-3.010421	1176
6051.825103	-3.828584	1177
6052.792174	-1.874735	1178
6053.799066	-3.109158	1179
6054.902116	-2.373573	1180
6055.802908	-0.860464	1181
6056.856261	-1.175612	1182
6057.951373	-1.179244	1183
6058.809453	-1.680641	1184
6059.940252	-1.715773	1185
6061.030017	-0.287611	1186
6061.859237	-0.596373	1187
