time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8992.321145	279.327240	0.521942	-0.100000	87
8997.325965	30.976273	1.282728	-0.011525	89
8999.354046	31.136200	1.239035	-0.011922	91
9001.380910	31.273613	1.192175	-0.012734	93
9003.408907	31.289200	1.144764	-0.012938	95
9005.438275	31.019861	1.099719	-0.013495	97
9007.469681	30.805616	1.059308	-0.013754	99
9009.501753	30.644421	1.021671	-0.013046	101
9011.533031	30.599308	0.983874	-0.012731	103
9013.563066	30.606730	0.947992	-0.012605	105
9015.591818	30.692541	0.912297	-0.012879	107
9017.620071	30.745865	0.876555	-0.012732	109
9019.648091	30.810223	0.842564	-0.012336	111
9021.676340	30.891682	0.808532	-0.012179	113
9023.706235	31.003799	0.776739	-0.011962	115
9025.733029	31.044701	0.746908	-0.012060	117
9027.759888	30.954634	0.719546	-0.011927	119
9029.785931	30.677925	0.691858	-0.012514	121
9031.808429	30.314575	0.664581	-0.012328	123
9033.830094	30.068075	0.636779	-0.012171	125
9035.854372	29.892422	0.608583	-0.011528	127
9037.881508	29.830433	0.580576	-0.010812	129
9039.908673	29.835197	0.554678	-0.010767	131
9041.940146	29.880400	0.531129	-0.010277	133
9043.971065	29.902132	0.507802	-0.009851	135
9046.003340	29.919981	0.486396	-0.010206	137
9048.034435	30.116945	0.464897	-0.010339	139
9050.066338	30.096539	0.444395	-0.010772	141
9052.098469	30.170326	0.425686	-0.010681	143
9054.129961	30.220112	0.407386	-0.010385	145
9056.155521	30.153704	0.389893	-0.010283	147
9058.185352	30.138094	0.373154	-0.010803	149
9060.214627	30.085594	0.357876	-0.010744	151
9062.238181	30.083326	0.342721	-0.010178	153
9064.265743	29.881165	0.328544	-0.009337	155
9066.291381	29.714010	0.314968	-0.008787	157
9068.316102	29.731041	0.302160	-0.008449	159
9070.336316	29.834908	0.289078	-0.008750	161
9072.362302	29.991415	0.277026	-0.008620	163
