time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5824.263796	340.818970	-0.304354	-0.100000	21
5827.476603	150.712341	1.541961	0.100000	23
5829.511335	149.154587	1.452505	0.100000	25
5831.542162	150.522156	1.363482	0.100000	27
5833.577848	128.656845	1.125479	0.100000	29
5835.614889	330.614044	1.251669	-0.100000	31
5837.650344	331.186615	1.166869	-0.100000	33
5839.684067	330.203400	-1.025578	-0.099508	35
5841.716187	330.292114	-0.952830	-0.095205	37
5843.746114	330.521912	-0.866741	-0.100000	39
5845.780428	330.366791	-0.789543	-0.100000	41
5847.820110	330.789612	-0.740755	-0.081269	43
5849.846504	329.973236	-0.685876	-0.073782	45
5851.882304	330.207855	-0.619396	-0.071732	47
5853.921521	330.881622	-0.573897	-0.064394	49
5855.947681	330.270599	-0.530089	-0.058207	51
5857.977131	330.270020	-0.480660	-0.054641	53
5860.010932	330.501465	-0.439446	-0.049942	55
5862.050005	330.585052	-0.403164	-0.045268	57
5864.080715	330.781128	-0.370817	-0.041549	59
5866.108663	331.117676	-0.340178	-0.038171	61
5868.141836	331.400055	-0.309579	-0.034199	63
5870.184027	329.857941	-0.282565	-0.029935	65
5872.222256	328.730530	-0.261759	-0.028735	67
5874.243659	331.218628	-0.241808	-0.027308	69
5876.265251	332.029907	-0.215149	-0.023094	71
5878.321686	329.446075	-0.195877	-0.020297	73
