time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4160.490144	335.263031	1.718214	0.100000	83
4162.527646	326.594421	1.658886	0.066228	85
4164.566607	326.793152	1.368719	0.061318	87
4166.603068	147.639557	-1.075691	-0.100000	89
4168.643003	147.223450	-0.865511	-0.048459	91
4170.683893	147.376053	-0.669046	-0.039901	93
4172.723460	147.801636	-0.511433	-0.030617	95
4174.758040	147.513245	-0.389357	-0.022784	97
4176.790425	146.502869	-0.292781	-0.018025	99
4178.837473	147.055466	-0.218711	-0.014778	101
4180.902905	148.378601	-0.168061	-0.010106	103
4182.928157	147.297821	-0.130317	-0.007259	105
4184.941065	146.062943	-0.097749	-0.006058	107
