crossing time (s)	slope (V/s)	crossing number
5220.840016	7.610079	1948
5224.107433	117.692184	1949
5224.590860	-0.291340	1950
5225.049024	112.155500	1951
5226.087308	111.149817	1952
5227.086805	115.091336	1953
5228.137147	99.238010	1954
5229.168090	93.749354	1955
5230.192755	78.278503	1956
5231.237890	69.092688	1957
5232.218813	62.785592	1958
5233.234869	57.672447	1959
5234.280305	49.026118	1960
5235.287763	42.499378	1961
5236.291405	37.585797	1962
5237.337653	34.863702	1963
5238.326163	31.880590	1964
5239.364714	28.402337	1965
5240.369727	24.148297	1966
5241.386018	20.874899	1967
5242.395739	19.178231	1968
5243.431427	17.616697	1969
5244.441031	16.372141	1970
5245.468414	15.790085	1971
5246.447265	10.919310	1972
5247.486908	8.593629	1973
5248.470236	10.131383	1974
5249.502592	8.962108	1975
5250.520108	6.543398	1976
5251.556865	6.411998	1977
5252.560619	5.270840	1978
5253.620641	5.319019	1979
5254.627995	3.177513	1980
5255.586876	3.257199	1981
5256.619526	1.603814	1982
5257.660897	3.646485	1983
5258.662464	3.080474	1984
5259.677641	0.949009	1985
5260.686598	2.620806	1986
5261.695808	2.081687	1987
5262.733668	0.294809	1988
